Token Name,Contract Address,Creator ,Number of Tokens Minted,token_bougth_start,quantity_adjusted_start,average_adjusted_start,tokens_start,tokens_bought_2_weeks,quantity_adjusted_2,average_adjusted_2,tokens_bought_month,quantity_adjusted_month,average_adjusted_month,Access & Utility,Interactive Experience ,Notes,Website,Art,Discord Channel
CryptoPunks,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,0xc352b534e8b987e036a93539fd6897f53488e56a,10000,6/23/17,689.6933583,34.48466791,20,431,34140.0517,65.35465201,745,60945.56039,76.03202916,0,0,1.) No interactive part (just art) ,https://www.larvalabs.com/cryptopunks,1,1
Bored Ape Yacht Club,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xaba7161a7fb69c88e16ed9f455ce62b791ee4d03,10000,6/23/17,689.6933583,34.48466791,20,431,34140.0517,65.35465201,745,60945.56039,76.03202916,1,1,"1.) Access to membership 2.) Charity event, arcade, club benefits ",https://boredapeyachtclub.com/#/,0,1
Mutant Ape Yacht Club ,0x60E4d786628Fea6478F785A6d7e704777c86a7c6,0x9056d15c49b19df52ffad1e6c11627f035c0c960,20000,8/29/21,133598741.2,23891.04815,5592,9704,243611403.5,22360.04933,11418,271785267.9,19310.60445,0,0,1.) Created through an interactive experience but token itself does not grant any benefits ,https://boredapeyachtclub.com/#/,1,0
The Sandbox ,0x50f5474724e0Ee42D9a4e711ccFB275809Fd6d4a,0x18dd4e0eb8699eA4FeE238dE41ECfb95e32272f8,166464,12/5/19,1072.63152,178.77192,6,65,8150.142233,116.4880699,93,11826.14514,110.6858405,1,1,1.) Access to game 2.) Interactive game ,https://www.sandbox.game/en/,0,1
Meebits,0x7Bd29408f11D2bFC23c34f18275bBf23bB716Bc7,0xc352b534e8b987e036a93539fd6897f53488e56a,20000,5/3/21,12714506.75,17983.74363,707,3514,64156747.84,16678.07382,4008,67095399.22,11366.69683,0,0,Art ,,1,0
Loot (for Adventurers) ,0x1dfe7Ca09e99d10835Bf73044a23B73Fc20623DF,0xf296178d553c8ec21a2fbd2c5dda8ca9ac905a00,8000,8/27/21,221567.2576,218.5081436,1014,8993,235522511.1,31708.52649,9486,248392672.8,28482.49154,0,1,1.) No additional tokens dropped or community access mentioned 2.) Interactive game with loot ,https://www.lootproject.com/,0,0
CryptoKitties,0x06012c8cf97BEaD5deAe237070F9587f8E7A266d,0xa874AA3E03842A84E4B252315488d27837D89544,N/A,11/23/17,1903.761335,4.49000315,424,68429,8542518.902,57.75097544,220355,17383442.9,54.01734005,0,1,1.) Interactable but does not give you access to any additional tokens or in world events 2.) Breeding kittens,https://www.cryptokitties.co/,0,1
Cool Cats NFT ,0x1A92f7381B9F03921564a437210bB9396471050C,0x4265de963cdd60629d03fee2cd3285e6d5ff6015,9999,7/1/21,16295.61453,67.06014209,243,11007,9826008.303,1166.100286,13146,13724116.57,1501.546058,1,0.5,1.) Access to giveaways 2.) Not yet interactive but promises to ,https://www.coolcatsnft.com/,0,1
Parallel Alpha ,0x76BE3b62873462d2142405439777e971754E8E77,0x74db0bbfde94aa80a135c5f8b60c0ca3d17332f2,N/A,3/27/21,44560.14069,44560.14069,1,32,64265.16926,3469.327256,113,249609.6373,3384.597277,0,0.5,2.) Not yet interactive but will be a game in the future ,https://parallel.life/,0,1
CrypToadz by GREMPLIN,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0x1b2ef9d5db72ea1103fc24eedd2226477409383a,6969,9/9/21,14967661.99,2525.761389,5926,10465,42109528.18,5767.228595,13259,122943456,18517.09832,0,0,1.) Story but not access or interaction,https://cryptoadz.io/,1,1
